Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,Target_Percentile,V1_MAE_Acc,V3_MAE_Acc
Weight,0,0.7,24C_x_11K,0.4,13C_x_8K,30%,33.33333333333333,66.66666666666666
Weight,0,0.7,24C_x_11K,0.4,15C_x_7K,30%,66.66666666666666,100.0
Weight,0,0.7,24C_x_11K,0.4,18C_x_6K,30%,66.66666666666666,66.66666666666666
Weight,0,0.7,24C_x_11K,0.4,21C_x_5K,30%,100.0,66.66666666666666
Weight,0,0.7,24C_x_11K,0.5,12C_x_11K,30%,66.66666666666666,100.0
Weight,0,0.7,24C_x_11K,0.5,13C_x_10K,30%,33.33333333333333,66.66666666666666
Weight,0,0.7,24C_x_11K,0.5,19C_x_7K,30%,66.66666666666666,100.0
Weight,0,0.7,24C_x_11K,0.5,22C_x_6K,30%,100.0,66.66666666666666
Weight,0,0.7,24C_x_11K,0.6,16C_x_10K,30%,66.66666666666666,100.0
Weight,0,0.7,24C_x_11K,0.6,20C_x_8K,30%,66.66666666666666,100.0
Weight,0,0.7,24C_x_11K,0.7,17C_x_11K,30%,66.66666666666666,100.0
Weight,0,0.7,24C_x_11K,0.7,23C_x_8K,30%,66.66666666666666,100.0
Weight,0,0.7,24C_x_11K,0.8,19C_x_11K,30%,66.66666666666666,100.0
Weight,0,0.7,24C_x_11K,0.8,21C_x_10K,30%,66.66666666666666,100.0
Weight,0,0.7,24C_x_11K,0.9,24C_x_10K,30%,66.66666666666666,100.0
Weight,0,0.7,24C_x_11K,1.0,24C_x_11K,30%,66.66666666666666,100.0
Weight,0,0.8,20C_x_15K,0.1,10C_x_3K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,20C_x_15K,0.1,15C_x_2K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.1,2C_x_15K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,20C_x_15K,0.1,3C_x_10K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,20C_x_15K,0.1,5C_x_6K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,20C_x_15K,0.1,6C_x_5K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,20C_x_15K,0.2,10C_x_6K,30%,100.0,100.0
Weight,0,0.8,20C_x_15K,0.2,12C_x_5K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.2,15C_x_4K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.2,20C_x_3K,30%,100.0,100.0
Weight,0,0.8,20C_x_15K,0.2,4C_x_15K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,20C_x_15K,0.2,5C_x_12K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,20C_x_15K,0.2,6C_x_10K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,20C_x_15K,0.3,10C_x_9K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.3,13C_x_7K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,20C_x_15K,0.3,15C_x_6K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.3,18C_x_5K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.3,6C_x_15K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,20C_x_15K,0.3,7C_x_13K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.3,9C_x_10K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.4,10C_x_12K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.4,11C_x_11K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,20C_x_15K,0.4,12C_x_10K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.4,15C_x_8K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.4,17C_x_7K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.4,20C_x_6K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.4,8C_x_15K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.5,10C_x_15K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.5,15C_x_10K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.5,19C_x_8K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.6,12C_x_15K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.6,13C_x_14K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.6,14C_x_13K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.6,15C_x_12K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.6,18C_x_10K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.6,20C_x_9K,30%,100.0,100.0
Weight,0,0.8,20C_x_15K,0.7,14C_x_15K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.7,15C_x_14K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.7,16C_x_13K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.7,19C_x_11K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.8,16C_x_15K,30%,100.0,100.0
Weight,0,0.8,20C_x_15K,0.8,17C_x_14K,30%,100.0,100.0
Weight,0,0.8,20C_x_15K,0.8,20C_x_12K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,20C_x_15K,0.9,18C_x_15K,30%,100.0,100.0
Weight,0,0.8,20C_x_15K,1.0,20C_x_15K,30%,100.0,100.0
Weight,0,0.8,23C_x_13K,0.1,10C_x_3K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,23C_x_13K,0.1,15C_x_2K,30%,66.66666666666666,33.33333333333333
Weight,0,0.8,23C_x_13K,0.1,3C_x_10K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,23C_x_13K,0.1,5C_x_6K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,23C_x_13K,0.1,6C_x_5K,30%,33.33333333333333,0.0
Weight,0,0.8,23C_x_13K,0.2,10C_x_6K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,23C_x_13K,0.2,12C_x_5K,30%,0.0,33.33333333333333
Weight,0,0.8,23C_x_13K,0.2,15C_x_4K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,23C_x_13K,0.2,20C_x_3K,30%,0.0,33.33333333333333
Weight,0,0.8,23C_x_13K,0.2,5C_x_12K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,23C_x_13K,0.2,6C_x_10K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,23C_x_13K,0.3,10C_x_9K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,23C_x_13K,0.3,13C_x_7K,30%,33.33333333333333,66.66666666666666
Weight,0,0.8,23C_x_13K,0.3,15C_x_6K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,23C_x_13K,0.3,18C_x_5K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,23C_x_13K,0.3,7C_x_13K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,23C_x_13K,0.3,9C_x_10K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,23C_x_13K,0.4,10C_x_12K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,23C_x_13K,0.4,11C_x_11K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,23C_x_13K,0.4,12C_x_10K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,23C_x_13K,0.4,15C_x_8K,30%,33.33333333333333,66.66666666666666
Weight,0,0.8,23C_x_13K,0.4,17C_x_7K,30%,33.33333333333333,66.66666666666666
Weight,0,0.8,23C_x_13K,0.4,20C_x_6K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,23C_x_13K,0.5,15C_x_10K,30%,33.33333333333333,66.66666666666666
Weight,0,0.8,23C_x_13K,0.5,19C_x_8K,30%,33.33333333333333,66.66666666666666
Weight,0,0.8,23C_x_13K,0.6,15C_x_12K,30%,66.66666666666666,100.0
Weight,0,0.8,23C_x_13K,0.6,18C_x_10K,30%,66.66666666666666,100.0
Weight,0,0.8,23C_x_13K,0.6,20C_x_9K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,23C_x_13K,0.7,16C_x_13K,30%,66.66666666666666,100.0
Weight,0,0.8,23C_x_13K,0.7,19C_x_11K,30%,66.66666666666666,100.0
Weight,0,0.8,23C_x_13K,0.7,21C_x_10K,30%,33.33333333333333,66.66666666666666
Weight,0,0.8,23C_x_13K,0.7,23C_x_9K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,23C_x_13K,0.8,20C_x_12K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,23C_x_13K,0.8,22C_x_11K,30%,66.66666666666666,100.0
Weight,0,0.8,23C_x_13K,1.0,23C_x_13K,30%,66.66666666666666,100.0
Weight,0,0.8,25C_x_12K,0.1,10C_x_3K,30%,0.0,0.0
Weight,0,0.8,25C_x_12K,0.1,15C_x_2K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,25C_x_12K,0.1,3C_x_10K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,25C_x_12K,0.1,5C_x_6K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,25C_x_12K,0.1,6C_x_5K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,25C_x_12K,0.2,10C_x_6K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,25C_x_12K,0.2,12C_x_5K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,25C_x_12K,0.2,15C_x_4K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,25C_x_12K,0.2,20C_x_3K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,25C_x_12K,0.2,5C_x_12K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,25C_x_12K,0.2,6C_x_10K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,25C_x_12K,0.3,10C_x_9K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,25C_x_12K,0.3,13C_x_7K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,25C_x_12K,0.3,15C_x_6K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,25C_x_12K,0.3,18C_x_5K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,25C_x_12K,0.3,9C_x_10K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,25C_x_12K,0.4,10C_x_12K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,25C_x_12K,0.4,11C_x_11K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,25C_x_12K,0.4,12C_x_10K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,25C_x_12K,0.4,15C_x_8K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,25C_x_12K,0.4,17C_x_7K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,25C_x_12K,0.4,20C_x_6K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,25C_x_12K,0.4,24C_x_5K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,25C_x_12K,0.5,15C_x_10K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,25C_x_12K,0.5,19C_x_8K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,25C_x_12K,0.5,25C_x_6K,30%,100.0,100.0
Weight,0,0.8,25C_x_12K,0.6,15C_x_12K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,25C_x_12K,0.6,18C_x_10K,30%,66.66666666666666,66.66666666666666
Weight,0,0.8,25C_x_12K,0.6,20C_x_9K,30%,33.33333333333333,33.33333333333333
Weight,0,0.8,25C_x_12K,0.7,19C_x_11K,30%,100.0,100.0
Weight,0,0.8,25C_x_12K,0.7,21C_x_10K,30%,100.0,100.0
Weight,0,0.8,25C_x_12K,0.7,23C_x_9K,30%,100.0,100.0
Weight,0,0.8,25C_x_12K,0.8,20C_x_12K,30%,100.0,100.0
Weight,0,0.8,25C_x_12K,0.8,22C_x_11K,30%,100.0,100.0
Weight,0,0.8,25C_x_12K,0.8,24C_x_10K,30%,100.0,100.0
Weight,0,0.8,25C_x_12K,1.0,25C_x_12K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.1,11C_x_3K,30%,0.0,0.0
Weight,0,0.9,24C_x_14K,0.1,17C_x_2K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.1,3C_x_11K,30%,66.66666666666666,66.66666666666666
Weight,0,0.9,24C_x_14K,0.1,5C_x_7K,30%,33.33333333333333,33.33333333333333
Weight,0,0.9,24C_x_14K,0.1,7C_x_5K,30%,66.66666666666666,66.66666666666666
Weight,0,0.9,24C_x_14K,0.2,11C_x_6K,30%,66.66666666666666,66.66666666666666
Weight,0,0.9,24C_x_14K,0.2,17C_x_4K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.2,22C_x_3K,30%,33.33333333333333,33.33333333333333
Weight,0,0.9,24C_x_14K,0.2,6C_x_11K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.3,10C_x_10K,30%,66.66666666666666,66.66666666666666
Weight,0,0.9,24C_x_14K,0.3,11C_x_9K,30%,66.66666666666666,66.66666666666666
Weight,0,0.9,24C_x_14K,0.3,17C_x_6K,30%,66.66666666666666,66.66666666666666
Weight,0,0.9,24C_x_14K,0.3,20C_x_5K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.3,9C_x_11K,30%,66.66666666666666,66.66666666666666
Weight,0,0.9,24C_x_14K,0.4,11C_x_12K,30%,33.33333333333333,33.33333333333333
Weight,0,0.9,24C_x_14K,0.4,12C_x_11K,30%,66.66666666666666,66.66666666666666
Weight,0,0.9,24C_x_14K,0.4,15C_x_9K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.4,17C_x_8K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.4,19C_x_7K,30%,66.66666666666666,66.66666666666666
Weight,0,0.9,24C_x_14K,0.4,22C_x_6K,30%,66.66666666666666,66.66666666666666
Weight,0,0.9,24C_x_14K,0.5,12C_x_14K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.5,13C_x_13K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.5,14C_x_12K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.5,17C_x_10K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.5,21C_x_8K,30%,66.66666666666666,66.66666666666666
Weight,0,0.9,24C_x_14K,0.5,24C_x_7K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.6,17C_x_12K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.6,20C_x_10K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.7,17C_x_14K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.7,18C_x_13K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.8,19C_x_14K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,0.9,23C_x_13K,30%,100.0,100.0
Weight,0,0.9,24C_x_14K,1.0,24C_x_14K,30%,100.0,100.0
Weight,0,1.0,25C_x_15K,0.1,13C_x_3K,30%,66.66666666666666,66.66666666666666
Weight,0,1.0,25C_x_15K,0.1,19C_x_2K,30%,66.66666666666666,66.66666666666666
Weight,0,1.0,25C_x_15K,0.1,3C_x_13K,30%,33.33333333333333,33.33333333333333
Weight,0,1.0,25C_x_15K,0.2,15C_x_5K,30%,33.33333333333333,33.33333333333333
Weight,0,1.0,25C_x_15K,0.2,19C_x_4K,30%,66.66666666666666,66.66666666666666
Weight,0,1.0,25C_x_15K,0.2,25C_x_3K,30%,33.33333333333333,33.33333333333333
Weight,0,1.0,25C_x_15K,0.2,5C_x_15K,30%,66.66666666666666,66.66666666666666
Weight,0,1.0,25C_x_15K,0.3,10C_x_11K,30%,33.33333333333333,33.33333333333333
Weight,0,1.0,25C_x_15K,0.3,11C_x_10K,30%,66.66666666666666,66.66666666666666
Weight,0,1.0,25C_x_15K,0.3,14C_x_8K,30%,66.66666666666666,66.66666666666666
Weight,0,1.0,25C_x_15K,0.3,16C_x_7K,30%,33.33333333333333,33.33333333333333
Weight,0,1.0,25C_x_15K,0.3,19C_x_6K,30%,66.66666666666666,66.66666666666666
Weight,0,1.0,25C_x_15K,0.3,22C_x_5K,30%,100.0,100.0
Weight,0,1.0,25C_x_15K,0.3,8C_x_14K,30%,33.33333333333333,33.33333333333333
Weight,0,1.0,25C_x_15K,0.4,10C_x_15K,30%,66.66666666666666,66.66666666666666
Weight,0,1.0,25C_x_15K,0.4,15C_x_10K,30%,100.0,100.0
Weight,0,1.0,25C_x_15K,0.4,19C_x_8K,30%,66.66666666666666,66.66666666666666
Weight,0,1.0,25C_x_15K,0.4,25C_x_6K,30%,66.66666666666666,66.66666666666666
Weight,0,1.0,25C_x_15K,0.5,17C_x_11K,30%,100.0,100.0
Weight,0,1.0,25C_x_15K,0.5,19C_x_10K,30%,66.66666666666666,66.66666666666666
Weight,0,1.0,25C_x_15K,0.5,21C_x_9K,30%,100.0,100.0
Weight,0,1.0,25C_x_15K,0.6,15C_x_15K,30%,100.0,100.0
Weight,0,1.0,25C_x_15K,0.6,16C_x_14K,30%,66.66666666666666,66.66666666666666
Weight,0,1.0,25C_x_15K,0.6,19C_x_12K,30%,100.0,100.0
Weight,0,1.0,25C_x_15K,0.6,25C_x_9K,30%,66.66666666666666,66.66666666666666
Weight,0,1.0,25C_x_15K,0.7,20C_x_13K,30%,100.0,100.0
Weight,0,1.0,25C_x_15K,0.7,22C_x_12K,30%,66.66666666666666,66.66666666666666
Weight,0,1.0,25C_x_15K,0.7,24C_x_11K,30%,100.0,100.0
Weight,0,1.0,25C_x_15K,0.8,20C_x_15K,30%,100.0,100.0
Weight,0,1.0,25C_x_15K,0.8,23C_x_13K,30%,100.0,100.0
Weight,0,1.0,25C_x_15K,0.8,25C_x_12K,30%,100.0,100.0
Weight,0,1.0,25C_x_15K,0.9,24C_x_14K,30%,100.0,100.0
Weight,0,1.0,25C_x_15K,1.0,25C_x_15K,30%,100.0,100.0
